ATM Name,Transaction Date,No Of Withdrawals,No Of XYZ Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Weekday,Festival Religion,Working Day,Holiday Sequence,Year,Month
Airport ATM,2011-01-01,98.0,56.0,503400.0,347700.0,Saturday,C,H,WHH,2011,January
Big Street ATM,2011-01-01,50.0,20.0,123800.0,41700.0,Saturday,H,H,WHH,2011,January
Christ College ATM,2011-01-01,74.0,25.0,287700.0,148200.0,Saturday,C,H,WHH,2011,January
KK Nagar ATM,2011-01-01,265.0,159.0,945300.0,532600.0,Saturday,C,H,WHH,2011,January
Mount Road ATM,2011-01-01,253.0,67.0,767900.0,270900.0,Saturday,C,H,WHH,2011,January
Airport ATM,2011-01-02,105.0,78.0,578100.0,438700.0,Sunday,NH,W,WWW,2011,January
Big Street ATM,2011-01-02,36.0,17.0,161700.0,121300.0,Sunday,NH,W,WWW,2011,January
Christ College ATM,2011-01-02,97.0,31.0,432000.0,158400.0,Sunday,NH,W,WWW,2011,January
KK Nagar ATM,2011-01-02,221.0,183.0,958300.0,770900.0,Sunday,NH,W,WWW,2011,January
Mount Road ATM,2011-01-02,164.0,106.0,631800.0,476600.0,Sunday,NH,W,WWW,2011,January
Airport ATM,2011-01-03,119.0,101.0,519100.0,465200.0,Monday,NH,W,WWW,2011,January
Big Street ATM,2011-01-03,29.0,14.0,105800.0,65400.0,Monday,NH,W,WWW,2011,January
Big Street ATM,2011-01-03,184.0,142.0,692070.0,546070.0,Monday,NA,NA,NA,2011,January
Christ College ATM,2011-01-03,92.0,39.0,479800.0,228700.0,Monday,NH,W,WWW,2011,January
Mount Road ATM,2011-01-03,197.0,107.0,730000.0,505100.0,Monday,NH,W,WWW,2011,January
Airport ATM,2011-01-04,96.0,80.0,480700.0,425700.0,Tuesday,NH,W,WWH,2011,January
Big Street ATM,2011-01-04,43.0,20.0,134700.0,75900.0,Tuesday,NH,W,WWH,2011,January
Christ College ATM,2011-01-04,75.0,29.0,336600.0,195200.0,Tuesday,NH,W,WWH,2011,January
KK Nagar ATM,2011-01-04,184.0,157.0,557300.0,508000.0,Tuesday,NH,W,WWH,2011,January
Mount Road ATM,2011-01-04,142.0,75.0,464800.0,325400.0,Tuesday,NH,W,WWH,2011,January
Airport ATM,2011-01-05,131.0,63.0,468900.0,306900.0,Wednesday,N,H,HHW,2011,January
Big Street ATM,2011-01-05,23.0,6.0,60200.0,19000.0,Wednesday,N,H,HHW,2011,January
Christ College ATM,2011-01-05,52.0,20.0,200300.0,79100.0,Wednesday,N,H,HHW,2011,January
KK Nagar ATM,2011-01-05,148.0,117.0,577100.0,482900.0,Wednesday,N,H,HHW,2011,January
Mount Road ATM,2011-01-05,159.0,50.0,636000.0,280600.0,Wednesday,N,H,HHW,2011,January
Airport ATM,2011-01-06,149.0,101.0,729400.0,533100.0,Thursday,NH,W,WWW,2011,January
Big Street ATM,2011-01-06,34.0,17.0,136500.0,81800.0,Thursday,NH,W,WWW,2011,January
Big Street ATM,2011-01-06,184.0,142.0,692070.0,546070.0,Thursday,NA,NA,NA,2011,January
Christ College ATM,2011-01-06,78.0,40.0,261600.0,93700.0,Thursday,NH,W,WWW,2011,January
Mount Road ATM,2011-01-06,213.0,90.0,831200.0,463600.0,Thursday,NH,W,WWW,2011,January
Airport ATM,2011-01-07,115.0,93.0,500200.0,420800.0,Friday,NH,W,WWH,2011,January
Big Street ATM,2011-01-07,38.0,19.0,158800.0,85500.0,Friday,NH,W,WWH,2011,January
Christ College ATM,2011-01-07,88.0,47.0,403200.0,182300.0,Friday,NH,W,WWH,2011,January
