Total amount Withdrawn,No Of Withdrawals
503400.0,98.0
123800.0,50.0
287700.0,74.0
945300.0,265.0
767900.0,253.0
578100.0,105.0
161700.0,36.0
432000.0,97.0
958300.0,221.0
631800.0,164.0
519100.0,119.0
105800.0,29.0
692070.0,184.0
479800.0,92.0
730000.0,197.0
480700.0,96.0
134700.0,43.0
336600.0,75.0
557300.0,184.0
464800.0,142.0
468900.0,131.0
60200.0,23.0
200300.0,52.0
577100.0,148.0
636000.0,159.0
729400.0,149.0
136500.0,34.0
692070.0,184.0
261600.0,78.0
831200.0,213.0
500200.0,115.0
158800.0,38.0
403200.0,88.0
794200.0,201.0
605000.0,166.0
657800.0,124.0
292700.0,57.0
480517.0,150.0
316000.0,74.0
1064300.0,226.0
383300.0,80.0
124000.0,35.0
170600.0,40.0
821800.0,187.0
315600.0,114.0
721900.0,143.0
239500.0,53.0
376100.0,100.0
822800.0,189.0
788500.0,246.0
429900.0,98.0
183200.0,38.0
397000.0,90.0
861900.0,171.0
501800.0,139.0
517900.0,112.0
122800.0,28.0
411900.0,86.0
1016100.0,230.0
560100.0,137.0
411700.0,103.0
81200.0,22.0
510300.0,143.0
771400.0,223.0
506300.0,184.0
458500.0,109.0
91100.0,25.0
373000.0,91.0
876400.0,238.0
451400.0,179.0
163300.0,52.0
115900.0,24.0
206800.0,53.0
321400.0,119.0
200500.0,97.0
154100.0,42.0
55100.0,17.0
95200.0,36.0
274100.0,99.0
205300.0,77.0
100000.0,40.0
129800.0,37.0
126800.0,46.0
524800.0,188.0
221900.0,72.0
343100.0,86.0
163600.0,29.0
380000.0,82.0
831200.0,225.0
405200.0,123.0
428900.0,106.0
79500.0,33.0
446800.0,124.0
649200.0,183.0
537700.0,152.0
298000.0,89.0
81700.0,25.0
571300.0,140.0
445900.0,120.0
565500.0,163.0
350000.0,67.0
86600.0,21.0
386800.0,90.0
581500.0,193.0
450400.0,139.0
363600.0,93.0
85400.0,25.0
465300.0,95.0
683300.0,196.0
455600.0,151.0
288500.0,87.0
36800.0,18.0
212500.0,45.0
290000.0,110.0
352100.0,134.0
247800.0,85.0
103900.0,26.0
410800.0,100.0
800500.0,207.0
498900.0,153.0
363100.0,83.0
139900.0,39.0
325900.0,89.0
617000.0,178.0
439300.0,140.0
248200.0,91.0
40500.0,18.0
258400.0,69.0
485900.0,157.0
255400.0,134.0
402100.0,93.0
83300.0,26.0
336300.0,96.0
722900.0,181.0
461500.0,147.0
191800.0,77.0
71300.0,22.0
254500.0,77.0
874200.0,193.0
336300.0,126.0
384600.0,82.0
163500.0,53.0
692070.0,184.0
463400.0,87.0
428000.0,124.0
194400.0,58.0
41100.0,18.0
277200.0,75.0
517100.0,143.0
296400.0,137.0
526000.0,96.0
70800.0,23.0
692070.0,184.0
369100.0,91.0
515100.0,142.0
268600.0,67.0
52800.0,17.0
300000.0,80.0
809400.0,260.0
529300.0,194.0
472000.0,104.0
79200.0,19.0
714600.0,133.0
1159900.0,271.0
714900.0,164.0
616800.0,116.0
143300.0,37.0
638200.0,118.0
1043200.0,243.0
610800.0,153.0
555800.0,126.0
130500.0,31.0
285100.0,71.0
728200.0,193.0
776400.0,217.0
617800.0,138.0
116500.0,23.0
766670.0,194.0
436200.0,93.0
361600.0,96.0
580200.0,141.0
109600.0,30.0
474600.0,96.0
1152400.0,245.0
717900.0,246.0
714200.0,139.0
68000.0,36.0
421600.0,87.0
896900.0,196.0
856500.0,197.0
671500.0,121.0
244000.0,67.0
359200.0,88.0
936300.0,223.0
673500.0,221.0
600600.0,129.0
201600.0,34.0
280100.0,71.0
866800.0,197.0
663600.0,176.0
397700.0,97.0
149000.0,43.0
263000.0,80.0
470400.0,133.0
759200.0,215.0
475900.0,100.0
223200.0,41.0
417400.0,97.0
1120400.0,223.0
900000.0,216.0
620200.0,111.0
180900.0,43.0
365500.0,83.0
1159400.0,244.0
625900.0,170.0
288100.0,91.0
74900.0,28.0
119000.0,40.0
370700.0,137.0
359400.0,145.0
365800.0,86.0
117000.0,33.0
173100.0,38.0
791300.0,207.0
413100.0,153.0
362000.0,98.0
123700.0,34.0
357700.0,93.0
890100.0,208.0
499900.0,154.0
277900.0,65.0
23700.0,14.0
147100.0,55.0
482200.0,162.0
317300.0,131.0
292300.0,77.0
99700.0,26.0
292600.0,77.0
998300.0,230.0
549900.0,160.0
242200.0,64.0
141800.0,35.0
200600.0,66.0
543000.0,159.0
484200.0,167.0
454200.0,113.0
54300.0,15.0
399800.0,74.0
858300.0,198.0
441400.0,185.0
347800.0,101.0
56000.0,20.0
169400.0,62.0
302100.0,132.0
407300.0,165.0
285600.0,72.0
64200.0,23.0
143200.0,61.0
659200.0,176.0
456400.0,158.0
350400.0,81.0
142500.0,35.0
370800.0,100.0
624300.0,170.0
479200.0,145.0
434100.0,84.0
91900.0,31.0
265700.0,63.0
704500.0,179.0
379700.0,142.0
205700.0,67.0
74700.0,30.0
255600.0,76.0
647400.0,173.0
391600.0,127.0
291300.0,85.0
33700.0,22.0
200500.0,70.0
552700.0,178.0
339300.0,132.0
608300.0,132.0
119600.0,23.0
375800.0,91.0
780100.0,206.0
470600.0,169.0
300000.0,91.0
18000.0,15.0
283700.0,67.0
191700.0,76.0
8100.0,7.0
354200.0,105.0
149000.0,39.0
398900.0,112.0
960900.0,229.0
572800.0,157.0
603900.0,109.0
88100.0,24.0
701883.0,184.0
522800.0,108.0
897100.0,246.0
467800.0,114.0
167800.0,40.0
359800.0,80.0
823400.0,198.0
593000.0,170.0
342800.0,66.0
109100.0,29.0
405100.0,94.0
1043500.0,242.0
766800.0,212.0
580000.0,122.0
237800.0,56.0
333000.0,82.0
571200.0,155.0
445500.0,162.0
552900.0,95.0
97200.0,22.0
365300.0,77.0
870800.0,199.0
891100.0,204.0
372100.0,96.0
124700.0,25.0
423600.0,84.0
822500.0,198.0
742800.0,222.0
472800.0,107.0
123200.0,40.0
325000.0,85.0
477300.0,133.0
668800.0,177.0
554300.0,105.0
310700.0,72.0
184900.0,53.0
905000.0,209.0
755200.0,207.0
747200.0,156.0
146900.0,29.0
467100.0,96.0
899000.0,218.0
733800.0,220.0
338600.0,71.0
113200.0,22.0
178100.0,37.0
464500.0,119.0
339700.0,96.0
416800.0,87.0
131600.0,38.0
473000.0,110.0
721400.0,181.0
514100.0,157.0
701300.0,135.0
132000.0,41.0
527700.0,111.0
889000.0,196.0
